('Total Revenue', '138,699,000', '125,843,000', '110,360,000', '89,950,000', '85,320,000')
         419719 function calls (406763 primitive calls) in 1.466 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    205/1    0.002    0.000    1.466    1.466 {built-in method builtins.exec}
        1    0.000    0.000    1.466    1.466 financial_enhanced.py:1(<module>)
        1    0.000    0.000    1.069    1.069 financial_enhanced.py:7(get_row)
        1    0.000    0.000    0.957    0.957 api.py:64(get)
        1    0.000    0.000    0.957    0.957 api.py:16(request)
        1    0.000    0.000    0.953    0.953 sessions.py:463(request)
        1    0.000    0.000    0.936    0.936 sessions.py:614(send)
      128    0.001    0.000    0.787    0.006 socket.py:575(readinto)
      128    0.001    0.000    0.785    0.006 ssl.py:1060(recv_into)
      128    0.001    0.000    0.783    0.006 ssl.py:920(read)
      128    0.783    0.006    0.783    0.006 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.755    0.755 adapters.py:394(send)
        1    0.000    0.000    0.753    0.753 connectionpool.py:494(urlopen)
        1    0.000    0.000    0.752    0.752 connectionpool.py:351(_make_request)
       32    0.000    0.000    0.621    0.019 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.620    0.620 client.py:1292(getresponse)
        1    0.000    0.000    0.620    0.620 client.py:299(begin)
        1    0.000    0.000    0.618    0.618 client.py:266(_read_status)
    232/4    0.002    0.000    0.398    0.100 <frozen importlib._bootstrap>:978(_find_and_load)
    232/4    0.001    0.000    0.398    0.100 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    212/4    0.001    0.000    0.397    0.099 <frozen importlib._bootstrap>:663(_load_unlocked)
    182/4    0.001    0.000    0.397    0.099 <frozen importlib._bootstrap_external>:722(exec_module)
    268/4    0.000    0.000    0.396    0.099 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    47/20    0.000    0.000    0.329    0.016 {built-in method builtins.__import__}
  534/338    0.000    0.000    0.268    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        1    0.000    0.000    0.262    0.262 __init__.py:41(<module>)
        3    0.000    0.000    0.181    0.060 models.py:816(content)
    42/11    0.001    0.000    0.181    0.016 {method 'join' of 'bytes' objects}
       19    0.000    0.000    0.180    0.009 models.py:747(generate)
       19    0.000    0.000    0.180    0.009 response.py:543(stream)
       19    0.000    0.000    0.180    0.009 response.py:713(read_chunked)
       19    0.000    0.000    0.168    0.009 response.py:691(_handle_chunk)
       31    0.000    0.000    0.168    0.005 client.py:604(_safe_read)
       31    0.001    0.000    0.167    0.005 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.134    0.134 __init__.py:15(<module>)
