('Total Revenue', '138,699,000', '125,843,000', '110,360,000', '89,950,000', '85,320,000')
         419819 function calls (406863 primitive calls) in 1.191 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    44261    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
    42674    0.009    0.000    0.011    0.000 {built-in method builtins.isinstance}
33471/30309    0.005    0.000    0.006    0.000 {built-in method builtins.len}
    18582    0.010    0.000    0.010    0.000 sre_parse.py:233(__next)
    16640    0.008    0.000    0.012    0.000 sre_parse.py:164(__getitem__)
    13034    0.006    0.000    0.013    0.000 sre_parse.py:254(get)
    11551    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
    10281    0.014    0.000    0.014    0.000 {method 'match' of 're.Pattern' objects}
     8826    0.003    0.000    0.005    0.000 sre_parse.py:249(match)
7544/7097    0.003    0.000    0.032    0.000 {built-in method builtins.hasattr}
     6396    0.002    0.000    0.003    0.000 sre_parse.py:160(__len__)
     6386    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     5722    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     5572    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     5560    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
     5501    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     4701    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     4461    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     4076    0.002    0.000    0.002    0.000 sre_parse.py:172(append)
     3888    0.002    0.000    0.002    0.000 sre_parse.py:286(tell)
     3830    0.002    0.000    0.004    0.000 _markupbase.py:48(updatepos)
3793/3725    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     3656    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     3656    0.001    0.000    0.002    0.000 abc.py:137(__instancecheck__)
     3612    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     3067    0.002    0.000    0.002    0.000 sre_parse.py:111(__init__)
     2922    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
     2751    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     2594    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     2594    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
 2462/351    0.006    0.000    0.008    0.000 sre_parse.py:174(getwidth)
 2398/175    0.014    0.000    0.037    0.000 sre_compile.py:71(_compile)
     2241    0.001    0.000    0.003    0.000 css_parser.py:305(match)
     2206    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
     2196    0.000    0.000    0.000    0.000 element.py:1414(__bool__)
     2055    0.001    0.000    0.002    0.000 __init__.py:474(string_container)
     2055    0.003    0.000    0.009    0.000 __init__.py:533(endData)
     2017    0.001    0.000    0.001    0.000 __init__.py:122(unescape)
     2005    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
     1993    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     1863    0.001    0.000    0.002    0.000 element.py:1938(_normalize_search_value)
1854/1048    0.004    0.000    0.009    0.000 element.py:2063(_matches)
     1759    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1730    0.001    0.000    0.008    0.000 {built-in method builtins.next}
     1684    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     1673    0.002    0.000    0.002    0.000 element.py:158(setup)
 1649/185    0.029    0.000    0.083    0.000 sre_parse.py:475(_parse)
     1591    0.001    0.000    0.001    0.000 element.py:1797(descendants)
     1590    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1411    0.002    0.000    0.017    0.000 element.py:2030(search)
     1409    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     1347    0.001    0.000    0.002    0.000 sre_parse.py:168(__setitem__)
