('Total Revenue', '138,699,000', '125,843,000', '110,360,000', '89,950,000', '85,320,000')
         336945 function calls (327866 primitive calls) in 2.298 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      549    1.219    0.002    1.219    0.002 {method 'read' of '_ssl._SSLSocket' objects}
       21    0.441    0.021    0.441    0.021 {built-in method _imp.create_dynamic}
      112    0.086    0.001    0.086    0.001 {method 'read' of '_io.FileIO' objects}
        1    0.053    0.053    0.053    0.053 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.050    0.050    0.056    0.056 {built-in method _socket.getaddrinfo}
        1    0.041    0.041    0.041    0.041 {method 'connect' of '_socket.socket' objects}
      112    0.020    0.000    0.020    0.000 {built-in method marshal.loads}
 1295/144    0.019    0.000    0.057    0.000 sre_parse.py:475(_parse)
        1    0.015    0.015    0.015    0.015 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
    10264    0.013    0.000    0.013    0.000 {method 'match' of 're.Pattern' objects}
      601    0.011    0.000    0.011    0.000 {built-in method posix.stat}
      950    0.011    0.000    0.055    0.000 parser.py:301(parse_starttag)
 1739/136    0.011    0.000    0.027    0.000 sre_compile.py:71(_compile)
      112    0.008    0.000    0.094    0.001 <frozen importlib._bootstrap_external>:914(get_data)
        2    0.008    0.004    0.093    0.046 parser.py:134(goahead)
    36403    0.007    0.000    0.010    0.000 {built-in method builtins.isinstance}
      325    0.007    0.000    0.072    0.000 {built-in method builtins.__build_class__}
      536    0.007    0.000    0.010    0.000 sre_compile.py:276(_optimize_charset)
    11673    0.007    0.000    0.007    0.000 sre_parse.py:233(__next)
        1    0.006    0.006    0.006    0.006 {built-in method _scproxy._get_proxies}
       18    0.006    0.000    0.807    0.045 {method 'read' of '_io.BufferedReader' objects}
      549    0.006    0.000    1.238    0.002 socket.py:575(readinto)
    11716    0.005    0.000    0.008    0.000 sre_parse.py:164(__getitem__)
      951    0.005    0.000    0.015    0.000 element.py:1063(__init__)
      549    0.005    0.000    1.228    0.002 ssl.py:1060(recv_into)
    35233    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
    21/17    0.005    0.000    0.021    0.001 {built-in method _imp.exec_dynamic}
24866/22539    0.005    0.000    0.005    0.000 {built-in method builtins.len}
  863/137    0.004    0.000    0.058    0.000 sre_parse.py:417(_parse_sub)
      316    0.004    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
 1753/261    0.004    0.000    0.006    0.000 sre_parse.py:174(getwidth)
      950    0.004    0.000    0.022    0.000 __init__.py:664(handle_starttag)
      950    0.004    0.000    0.027    0.000 _htmlparser.py:119(handle_starttag)
1854/1048    0.004    0.000    0.009    0.000 element.py:2063(_matches)
     2911    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
      917    0.004    0.000    0.007    0.000 __init__.py:284(_replace_cdata_list_attribute_values)
        1    0.003    0.003    0.004    0.004 socket.py:652(close)
      475    0.003    0.000    0.004    0.000 css_types.py:37(__init__)
       64    0.003    0.000    0.003    0.000 {built-in method posix.getcwd}
     7705    0.003    0.000    0.008    0.000 sre_parse.py:254(get)
      885    0.003    0.000    0.016    0.000 parser.py:386(parse_endtag)
      112    0.003    0.000    0.125    0.001 <frozen importlib._bootstrap_external>:793(get_code)
     1048    0.003    0.000    0.015    0.000 element.py:1975(search_tag)
       10    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
     1673    0.003    0.000    0.003    0.000 element.py:158(setup)
      950    0.003    0.000    0.004    0.000 __init__.py:636(_popToTag)
      549    0.003    0.000    1.222    0.002 ssl.py:920(read)
      599    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x1009b07e0}
     2055    0.002    0.000    0.009    0.000 __init__.py:533(endData)
     6870    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
        1    0.002    0.002    0.002    0.002 dammit.py:521(_to_unicode)
     4701    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
      588    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     3830    0.002    0.000    0.004    0.000 _markupbase.py:48(updatepos)
       14    0.002    0.000    0.005    0.000 enum.py:135(__new__)
     5761    0.002    0.000    0.004    0.000 sre_parse.py:249(match)
    10919    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
      241    0.002    0.000    0.098    0.000 re.py:271(_compile)
     1618    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
    131/1    0.002    0.000    2.298    2.298 {built-in method builtins.exec}
      951    0.002    0.000    0.002    0.000 __init__.py:521(pushTag)
      142    0.002    0.000    0.033    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     1411    0.002    0.000    0.018    0.000 element.py:2030(search)
      549    0.002    0.000    0.002    0.000 {method '_checkClosed' of '_io._IOBase' objects}
    143/4    0.002    0.000    0.764    0.191 <frozen importlib._bootstrap>:978(_find_and_load)
     4558    0.002    0.000    0.002    0.000 sre_parse.py:160(__len__)
     2239    0.002    0.000    0.002    0.000 sre_parse.py:111(__init__)
     5318    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     2055    0.002    0.000    0.002    0.000 __init__.py:474(string_container)
      550    0.002    0.000    0.002    0.000 socket.py:614(readable)
     1618    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     2205    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
     4210    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      224    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      313    0.001    0.000    0.006    0.000 css_parser.py:999(selector_iter)
      950    0.001    0.000    0.005    0.000 parser.py:352(check_for_whole_start_tag)
     2726    0.001    0.000    0.002    0.000 sre_parse.py:286(tell)
      136    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:318(__exit__)
       35    0.001    0.000    0.021    0.001 element.py:733(_find_all)
     3085    0.001    0.000    0.002    0.000 sre_parse.py:172(append)
      139    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      976    0.001    0.000    0.003    0.000 sre_parse.py:295(_class_escape)
      549    0.001    0.000    0.003    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     1101    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     5136    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     1863    0.001    0.000    0.002    0.000 element.py:1938(_normalize_search_value)
      163    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      136    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
